Obs.Number,ID,Date,Rank,Age,Srv.Branch,Major.Cause.of.Death,Minor.Cause.of.Death,Where,Hometown,State,Country,Julian
2609,2610,4/27/2006,Maresciallo Capo,38,Italian Carabinieri,Hostile,hostile fire - IED attack,An Nasiriyah,Pacentro (Acquila),Italy,IT,16918
2610,2609,4/27/2006,Capitano,33,Italian Army,Hostile,hostile fire - IED attack,An Nasiriyah,Pisa,Italy,IT,16918
2611,2608,4/27/2006,2nd Lieutenant,28,Romanian Army,Hostile,hostile fire - IED attack,An Nasiriyah,Iasi,Romania,ROM,16918
2612,2612,4/27/2006,1st Sergeant,38,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Brooklyn,New York,US,16918
2613,2613,4/27/2006,Sergeant,23,U.S. Army National Guard,Hostile,hostile fire - IED attack,"Brooke Army Med Center, TX",Kalamazoo,Michigan,US,16918
2614,2614,4/27/2006,Staff Sergeant,27,U.S. Army,Non-hostile,illness - heart attack,Mosul,Alden,Iowa,US,16918
2615,2618,4/28/2006,Corporal,25,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Cochranville,Pennsylvania,US,16919
2616,2617,4/28/2006,Sergeant,21,U.S. Marine,Hostile,hostile fire - IED attack,Al Anbar Province,Brooksville,Florida,US,16919
2617,2616,4/28/2006,Sergeant,31,U.S. Marine,Hostile,hostile fire - IED attack,Al Anbar Province,Waukegan/Antioch,Illinois,US,16919
2618,2619,4/28/2006,Staff Sergeant,37,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Copperas Cove,Texas,US,16919
2619,2615,4/28/2006,Sergeant,23,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Corona,New York,US,16919
2620,2620,4/29/2006,Sergeant,29,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Hilo,Hawaii,US,16920
2621,2621,5/1/2006,Corporal,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Kingsport,Tennessee,US,16922
2622,2622,5/1/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire - IED attack,Fallujah,Salem,New Hampshire,US,16922
2623,2624,5/3/2006,Captain,27,U.S. Marine Reserve,Hostile,hostile fire,Al Anbar Province,Woodbridge,Virginia,US,16924
2624,2626,5/3/2006,Private 1st Class,20,U.S. Army,Hostile,hostile fire - IED attack,Kirkuk,Concord,California,US,16924
2625,2625,5/3/2006,Sergeant,38,U.S. Army National Guard,Hostile,hostile fire - suicide car bomb,Ramadi,Indianapolis,Indiana,US,16924
2626,2623,5/3/2006,Private 1st Class,19,U.S. Army,Non-hostile,unspecified cause,Taji,Phoenix,Arizona,US,16924
2627,2628,5/4/2006,Specialist,24,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Sand Springs,Oklahoma,US,16925
2628,2627,5/4/2006,Staff Sergeant,32,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Pueblo,Colorado,US,16925
2629,2630,5/4/2006,Sergeant,21,U.S. Marine,Hostile,hostile fire,Fallujah,Taberg/Camden,New York,US,16925
2630,2629,5/4/2006,Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Suffield,Connecticut,US,16925
2631,2633,5/5/2006,Specialist,29,U.S. Army Reserve,Hostile,hostile fire - IED attack,Babil Province,Las Vegas,Nevada,US,16926
2632,2632,5/5/2006,1st Sergeant,46,U.S. Army Reserve,Hostile,hostile fire - IED attack,Babil Province,Las Vegas,Nevada,US,16926
2633,2631,5/5/2006,Sergeant,29,U.S. Army Reserve,Hostile,hostile fire - IED attack,Babil Province,Janesville,Wisconsin,US,16926
2634,2634,5/5/2006,Private 1st Class,25,U.S. Army National Guard,Hostile,hostile fire - IED attack,Um Qasr,Carrollton,Missouri,US,16926
2635,2639,5/6/2006,Gunner,21,British Royal Marines,Hostile,helicopter crash,Basra,Not reported yet,England,UK,16927
2636,2638,5/6/2006,Flight Lieutenant,32,British Royal Air Force,Hostile,helicopter crash,Basra,Canterbury,England,UK,16927
2637,2637,5/6/2006,Captain,27,British Army Air Corps,Hostile,helicopter crash,Basra,Not reported yet,England,UK,16927
2638,2636,5/6/2006,Lieutenant Commander,40,British Royal Navy,Hostile,helicopter crash,Basra,Tutbury,England,UK,16927
2639,2635,5/6/2006,Wing Commander,47,British Royal Air Force,Hostile,helicopter crash,Basra,Liverpool,England,UK,16927
2640,2644,5/6/2006,Corporal,21,U.S. Marine,Hostile,hostile fire - explosion,"Brooke Army Med Center, TX",Seaford,Delaware,US,16927
2641,2641,5/6/2006,Staff Sergeant,25,U.S. Army National Guard,Hostile,hostile fire - IED attack,Diwaniyah,Jamestown,Pennsylvania,US,16927
2642,2640,5/6/2006,Staff Sergeant,48,U.S. Army National Guard,Hostile,hostile fire - IED attack,Diwaniyah,Richmond,Maine,US,16927
2643,2643,5/6/2006,Lance Corporal,19,U.S. Marine,Hostile,hostile fire - IED attack,Fallujah,St. Louis,Missouri,US,16927
2644,2642,5/6/2006,Sergeant,24,U.S. Marine,Hostile,hostile fire,"National Naval Medical Center, Bethesda",Little Ferry,New Jersey,US,16927
2645,2646,5/7/2006,Staff Sergeant,38,U.S. Army,Hostile,hostile fire - small arms fire,Tall Afar,Las Vegas,Nevada,US,16928
2646,2645,5/7/2006,Maresciallo Aiutante s.UPS,41,Italian Carabinieri,Hostile,hostile fire - IED attack,"Verona Civilian Hospital, Italy",Padua,Italy,IT,16928
2647,2647,5/8/2006,Staff Sergeant,35,U.S. Army National Guard,Hostile,hostile fire - IED attack,Baghdad,Mitchell,South Dakota,US,16929
2648,2648,5/9/2006,Specialist,26,U.S. Army,Non-hostile,NA,Mosul,Ennis,Texas,US,16930
2649,2649,5/10/2006,Sergeant,28,U.S. Marine,Hostile,hostile fire,Ramadi,Bethesda,Maryland,US,16931
2650,2656,5/11/2006,Corporal,21,U.S. Marine,Non-hostile,vehicle accident,Al Karmah,Airmont,New York,US,16932
2651,2655,5/11/2006,2nd Lieutenant,24,U.S. Marine,Non-hostile,vehicle accident,Al Karmah,Garden City,New York,US,16932
2652,2654,5/11/2006,Lance Corporal,22,U.S. Marine,Non-hostile,vehicle accident,Al Karmah,Fort Wayne,Indiana,US,16932
2653,2653,5/11/2006,Lance Corporal,20,U.S. Marine,Non-hostile,vehicle accident,Al Karmah,St. Cloud,Florida,US,16932
2654,2652,5/11/2006,Specialist,26,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Rockville,Maryland,US,16932
2655,2651,5/11/2006,Private 1st Class,18,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Lopez,Pennsylvania,US,16932
2656,2650,5/11/2006,Private 1st Class,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Pleasant Prairie,Wisconsin,US,16932
2657,2657,5/12/2006,Lance Corporal,21,U.S. Marine,Non-hostile,NA,Al Anbar Province,Philadelphia,Pennsylvania,US,16933
2658,2658,5/12/2006,Sergeant,21,U.S. Army,Hostile,hostile fire - IED attack,Ludwigshafen,Lafayette,Louisiana,US,16933
2659,2659,5/13/2006,Specialist,23,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Delavan,Illinois,US,16934
2660,2661,5/13/2006,Private,19,British Army,Hostile,hostile fire - IED attack,Basra,"Coalville, Leicester",England,UK,16934
2661,2660,5/13/2006,Private,25,British Army,Hostile,hostile fire - IED attack,Basra,Lautoka,Fiji,UK,16934
2662,2662,5/13/2006,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Ramadi,Seaford,Delaware,US,16934
2663,2668,5/14/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire - IED attack,Al Anbar Province,Overbrook,Oklahoma,US,16935
2664,2667,5/14/2006,Lance Corporal,22,U.S. Marine,Hostile,hostile fire - IED attack,Al Anbar Province,Liberal,Kansas,US,16935
2665,2666,5/14/2006,Major,34,U.S. Army,Hostile,helicopter crash (missile attack),Baghdad,Lewisville,Texas,US,16935
2666,2665,5/14/2006,Chief Warrant Officer 5,47,U.S. Army,Hostile,helicopter crash (missile attack),Baghdad,Daleville,Alabama,US,16935
2667,2664,5/14/2006,Master Sergeant,37,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Elyria,Ohio,US,16935
2668,2663,5/14/2006,Chief Warrant Officer 4,45,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,East North Port,New York,US,16935
2669,2669,5/14/2006,Captain,36,U.S. Army Reserve,Hostile,hostile fire - IED attack,Ramadi,Gurnee,Illinois,US,16935
2670,2671,5/15/2006,Staff Sergeant,29,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Baltimore,Maryland,US,16936
2671,2670,5/15/2006,Private 1st Class,25,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Merrill,Wisconsin,US,16936
2672,2672,5/16/2006,Staff Sergeant,32,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Bowling Green,Kentucky,US,16937
2673,2673,5/17/2006,Petty Officer 3rd Class,23,U.S. Navy,Hostile,hostile fire,Al Anbar Province,West Monroe,Louisiana,US,16938
2674,2677,5/18/2006,Lieutenant Colonel,43,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,San Antonio,Texas,US,16939
